parameter_id,frequency_band,variable,TO,FROM,NET,average_TCI
P2_H20_S3,short_term,r_coal,33.15890556933797,33.40623360721299,-0.2473280378750235,26.36779412669703
P2_H20_S3,short_term,r_electricity,29.89019942910568,27.993022728112532,1.8971767009931484,26.36779412669703
P2_H20_S3,short_term,r_gas,12.57177883846871,15.87645849246795,-3.3046796539992425,26.36779412669703
P2_H20_S3,short_term,r_gold,22.134561975673932,23.746773751871846,-1.6122117761979118,26.36779412669703
P2_H20_S3,short_term,r_wti,24.585871670068048,24.206360217613497,0.3795114524545492,26.36779412669703
P3_H10_S1,long_term,r_ai,42.30989847275121,30.605629466638103,11.7042690061131,29.18780345700403
P3_H10_S1,long_term,r_coal,36.421436453677714,33.281837907406604,3.1395985462711127,29.18780345700403
P3_H10_S1,long_term,r_electricity,33.08252749821974,32.87130627046538,0.21122122775435945,29.18780345700403
P3_H10_S1,long_term,r_gas,14.835326324299912,18.808470954922978,-3.9731446306230658,29.18780345700403
P3_H10_S1,long_term,r_gold,21.83002379563657,29.312818741976894,-7.4827949463403245,29.18780345700403
P3_H10_S1,long_term,r_wti,26.64760819743907,30.246757400614253,-3.599149203175182,29.18780345700403
P3_H10_S1,medium_term,r_ai,38.703400443261216,33.31026991413095,5.393130529130267,29.477474783088887
P3_H10_S1,medium_term,r_coal,41.88478558146262,32.159213953668676,9.72557162779395,29.477474783088887
P3_H10_S1,medium_term,r_electricity,32.88938544077469,30.360891129727918,2.5284943110467664,29.477474783088887
P3_H10_S1,medium_term,r_gas,14.782464638757077,19.7563641487609,-4.973899510003819,29.477474783088887
P3_H10_S1,medium_term,r_gold,22.991945401482376,27.733133153307946,-4.741187751825572,29.477474783088887
P3_H10_S1,medium_term,r_wti,25.61286719279535,33.54497639893694,-7.932109206141591,29.477474783088887
P3_H10_S1,short_term,r_ai,35.84783889068991,35.268244985434826,0.5795939052550847,28.604116954388424
P3_H10_S1,short_term,r_coal,33.67252183053049,36.07218656086197,-2.3996647303314833,28.604116954388424
P3_H10_S1,short_term,r_electricity,33.429724211435435,30.38511406519973,3.0446101462357036,28.604116954388424
P3_H10_S1,short_term,r_gas,15.556151279833577,17.445049354988203,-1.8888980751546283,28.604116954388424
P3_H10_S1,short_term,r_gold,24.953561699549457,26.251402134157363,-1.2978404346079049,28.604116954388424
P3_H10_S1,short_term,r_wti,28.164903814291673,26.202704625688444,1.9621991886032282,28.604116954388424
P3_H10_S2,long_term,r_ai,42.26830616598116,30.46300976222142,11.805296403759737,29.17184796691988
P3_H10_S2,long_term,r_coal,36.09488722120548,33.53938122866593,2.5555059925395494,29.17184796691988
P3_H10_S2,long_term,r_electricity,33.014182462173565,32.967815936676836,0.04636652549672905,29.17184796691988
P3_H10_S2,long_term,r_gas,15.15371500971049,18.73846003845602,-3.584745028745529,29.17184796691988
P3_H10_S2,long_term,r_gold,21.81402658658091,29.281183415813025,-7.467156829232116,29.17184796691988
P3_H10_S2,long_term,r_wti,26.685970355867667,30.041237419686038,-3.3552670638183697,29.17184796691988
P3_H10_S2,medium_term,r_ai,41.86339670604472,31.739838285669094,10.123558420375623,29.40176293785234
P3_H10_S2,medium_term,r_coal,38.77418624763061,32.40874395500095,6.365442292629654,29.40176293785234
P3_H10_S2,medium_term,r_electricity,33.343501963447515,32.132316778778836,1.2111851846686752,29.40176293785234
P3_H10_S2,medium_term,r_gas,13.966999338242017,19.309910754384514,-5.3429114161424955,29.40176293785234
P3_H10_S2,medium_term,r_gold,22.09129005714184,29.201950948652225,-7.110660891510384,29.40176293785234
P3_H10_S2,medium_term,r_wti,26.371203314607357,31.617816904628423,-5.246613590021072,29.40176293785234
