+date,total_tci,short_term_TCI,medium_term_TCI,long_term_TCI
+2020-07-21,30.049103276073318,30.17388053344497,29.185591018049436,28.22280219141929
+2020-07-22,30.058203788481716,29.939432219803564,29.31406696472588,28.387730480485324
+2020-07-23,29.654798977493783,29.45676200911186,28.937662871805763,28.227082138832937
+2020-07-24,29.029427445243957,29.057765350156178,27.96493012580527,27.025300843973948
+2020-07-27,28.340441959833296,28.114198799058205,27.622093412950115,26.874561779490413
+2020-07-28,28.189639662112327,27.92305101420297,27.67210844464065,26.72898582600089
+2020-07-29,28.1450435168314,27.843919857098182,27.67536155510004,26.856303928463305
+2020-07-30,28.116859113307253,27.877466017862524,27.55727068694122,26.71652256781529
+2020-07-31,27.940163050704182,27.762101636836416,27.38069854248672,26.555803414174388
+2020-08-03,27.87148509739246,27.65215172005113,27.41963404387632,26.70307518845841
+2020-08-04,27.93023678099047,27.54508990529066,27.705288229540777,27.10603762331913
+2020-08-05,27.945707096212907,27.369042695672917,27.878377583020868,27.47232146407829
+2020-08-06,27.875343312869123,27.340978808751697,27.854021765719388,27.34799225721329
+2020-08-07,27.46038822445673,26.758701848019044,27.66013363682866,27.25557213076632
+2020-08-10,27.296160270334784,26.681739360261385,27.477093455178288,26.90125013774481
+2020-08-11,27.560877358696928,27.33666941983776,27.099680875497857,26.281334508348703
+2020-08-12,26.843422169393527,26.75230632915093,26.128754500720703,25.60665066373067
+2020-08-13,26.92521978492704,26.645087387675083,26.405372811999623,25.939235415193966
+2020-08-14,26.60601619511057,26.317659545392647,26.051885346804237,25.705146873427715
+2020-08-17,26.682386124342894,26.200934972297677,26.35548748228996,26.160746518210743
+2020-08-18,26.82444841502671,26.267763882179253,26.54109616542271,26.378829604774364
+2020-08-19,26.76525943581252,26.38832083714386,26.352950660551414,26.08749365560927
+2020-08-20,26.510157556842888,25.98214658361136,26.47933494013315,26.36989490007724
+2020-08-21,26.373845567159385,25.86367837220812,26.37644855820127,26.29741538011409
+2020-08-24,26.536426307403744,26.10896479982993,26.3418617316615,26.159843036383386
+2020-08-25,26.328873019832727,25.819897518784234,26.296925106295387,26.21770318323095
+2020-08-26,25.68299479113356,25.32389995217299,25.287108010555997,25.13957512698013
+2020-08-27,25.604719764253737,25.22526150610169,25.31787611886041,25.191947365437667
+2020-08-28,25.61980512524416,25.4981796327084,25.08814861380509,24.77138296852269
+2020-08-31,24.9287843577354,24.91440728740317,24.310516609471737,23.942084326535397
+2020-09-01,24.102238281951703,24.137368552497534,23.38118453328725,23.016742567540295
+2020-09-02,23.32249076991971,23.21985314192297,23.02092717440373,22.790581866105768
+2020-09-03,21.963619744067405,22.13362928833848,21.13385588889146,20.91650978368437
+2020-09-04,22.36353299855472,22.33929129702603,21.902107592357588,21.86485591313857
+2020-09-09,22.42520997853359,22.764861644661067,21.40571577882747,21.0887508176076
+2020-09-10,22.2387668081745,22.680731919642465,20.88739623701321,20.545731089325304
+2020-09-11,22.16494080443992,22.535680431302502,20.91376530893953,20.521962579035947
+2020-09-14,22.631326465432466,23.11040624547721,21.53453658371599,20.986710306637267
+2020-09-15,22.93112027878557,23.085824863517,22.50775031209121,22.10597728978266
+2020-09-16,22.59413634268985,22.6344450713571,22.315019597335155,21.994583178978846
+2020-09-17,23.091155529579808,22.76320714903006,23.167521829125903,23.15869506487236
+2020-09-18,23.06849289895379,22.7333803830733,23.202253147750184,23.326763520988823
+2020-09-21,25.46903491227559,25.07182116490805,25.37559103380273,25.04764023864857
+2020-09-22,25.248996953371723,25.16206675489478,24.657293146977423,24.15984265306755
+2020-09-23,25.120530971034587,25.34014096089147,24.186704309779174,23.675396717287107
+2020-09-24,25.23763669342729,25.541905021882044,23.994323038918083,23.55900561751874
+2020-09-25,24.820533581700545,25.077355771085774,23.722921644200177,23.28836579560333
+2020-09-28,25.010542887762448,25.22683860083938,24.002289758929464,23.48984527290445
+2020-09-29,24.65702954722256,25.09692300157568,23.31307747828273,22.747113349827966
+2020-09-30,24.096122670379028,24.66717948130659,22.67481550413929,22.094027063632485
+2020-10-01,23.65904231264661,24.137012830835715,22.39920079884776,21.89643798639104
+2020-10-02,23.376415157146223,23.711302631037853,22.25921181359957,21.92393572062339
+2020-10-05,26.684372032735464,27.47700597920837,24.82810670393092,24.00948558190231
+2020-10-06,25.80562290397273,26.67505500890431,24.208882390379085,23.44763584740294
+2020-10-07,25.462219215293803,26.23279954643633,24.093958740015356,23.433344480461397
+2020-10-08,24.55427918160308,25.207455961481845,23.43587230265549,22.88512600125987
+2020-10-09,25.71144891392963,26.635772637589334,24.41812163114887,23.866333038035204
